Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_viu7_rrfi,:@computed_region_n4xg_c4py
B182390,08/07/2018,04/29/2019,18316.20,false,false,1,1900 Block of 30th Avenue,94116,4,Sunset/Parkside,"(37.750918626989844, -122.48813867519634)",39,10,7,35,35,8,3,1,29491,1,,,
B182389,08/07/2018,04/26/2019,85000.00,false,true,2,500 Block of Chestnut Street,94133,3,North Beach,"(37.80393960398463, -122.41222643123558)",106,6,3,23,23,1,10,3,308,2,,,
B190985,,04/25/2019,99539.00,false,false,1,1400 Block of Leavenworth Street,94109,3,Russian Hill,"(37.79432588469809, -122.41645054826014)",16,6,3,32,32,1,10,5,28858,1,,,
B181873,06/20/2018,04/25/2019,99000.00,false,false,1,1400 Block of Leavenworth Street,94109,3,Russian Hill,"(37.79432588469809, -122.41645054826014)",16,6,3,32,32,1,10,5,28858,1,,,
B181778,06/12/2018,04/24/2019,130000.00,false,true,2,1900 Block of Oak Street,94117,5,Haight Ashbury,"(37.77130130318321, -122.45141265982271)",25,7,11,3,9,5,11,15,29492,1,,,
B190479,03/04/2019,04/24/2019,10500.00,false,false,2,100 Block of Ellert Street,94110,9,Bernal Heights,"(37.73841125596938, -122.41719914654512)",61,9,2,2,2,7,7,2,28859,1,,,
B190246,01/30/2019,04/23/2019,30000.00,false,true,2,1300 Block of Dolores Street,94110,8,Noe Valley,"(37.748222160463385, -122.42495962018477)",52,3,5,22,22,4,5,2,63,1,,,
B183189,11/09/2018,04/23/2019,53500.00,false,false,2,1300 Block of Francisco Street,94123,2,Marina,"(37.80294860970148, -122.42739861574515)",17,4,6,13,17,9,1,13,57,1,,,
B190881,,04/22/2019,90000.00,false,false,3,300 Block of Niagara Avenue,94112,11,Outer Mission,"(37.71910523731388, -122.4467664326041)",80,9,1,28,25,7,6,9,28861,2,,,
B172059,08/09/2017,04/22/2019,13200.00,false,false,2,700 Block of 6th Avenue,94118,1,Inner Richmond,"(37.77449336390309, -122.46388145113791)",5,8,4,11,11,6,2,11,54,1,,,
B190496,03/07/2019,04/19/2019,65000.00,false,false,1,1900 Block of Jefferson Street,94123,2,Marina,"(37.804477555568155, -122.44461463686812)",17,4,6,13,17,9,1,13,57,1,,,
B190495,03/07/2019,04/19/2019,26567.79,false,false,1,1700 Block of Octavia Street,94109,5,Pacific Heights,"(37.78808615007382, -122.42698201312423)",101,4,11,30,27,9,11,13,28858,1,,,
B190083,01/11/2019,04/17/2019,8500.00,false,true,1,2100 Block of 27th Avenue,94116,4,Sunset/Parkside,"(37.747337375321095, -122.48451964517714)",40,10,7,35,35,8,3,1,29491,1,,,
B163648,11/28/2016,04/15/2019,100000.00,false,false,1,600 Block of South Van Ness Avenue,94110,9,Mission,"(37.762765406899824, -122.41732466081913)",53,3,2,20,19,4,7,8,28859,2,,,
B190069,01/10/2019,04/12/2019,150000.00,false,false,4,400 Block of 25th Avenue,94121,1,Outer Richmond,"(37.78106223504713, -122.48473417148001)",8,8,4,29,26,6,2,11,55,2,,,
B182917,10/17/2018,04/12/2019,115000.00,false,false,1,100 Block of Coleridge Street,94110,9,Bernal Heights,"(37.743394615107995, -122.42000112048012)",83,9,2,2,2,7,7,2,28859,1,,,
B172917,11/15/2017,04/11/2019,100000.00,false,false,5,200 Block of Richland Avenue,94110,9,Bernal Heights,"(37.73590726137046, -122.42165327531018)",61,9,2,2,2,7,7,2,28859,1,,,
B183253,12/03/2018,04/09/2019,40000.00,false,false,1,0 Block of Manchester Street,94110,9,Bernal Heights,"(37.74593513193551, -122.4141841958646)",83,9,2,2,2,7,7,2,28859,1,,,
B190260,02/07/2019,04/05/2019,25000.00,false,false,1,200 Block of Gough Street,94102,5,Hayes Valley,"(37.77524483223053, -122.42271387731311)",22,4,11,9,10,9,11,7,28852,1,,,1
B190121,01/15/2019,04/04/2019,12770.00,false,false,4,0 Block of Los Palmos Drive,94127,7,West of Twin Peaks,"(37.73491227114547, -122.44751763302526)",72,9,8,41,40,7,4,9,59,1,,,
B183042,11/01/2018,04/03/2019,20000.00,false,false,2,1600 Block of La Salle Avenue,94124,10,Bayview Hunters Point,"(37.7368708864383, -122.38921853507073)",86,2,9,1,1,3,8,10,58,2,,,
B183332,12/12/2018,04/03/2019,2619.56,false,false,1,0 Block of Peralta Avenue,94110,9,Bernal Heights,"(37.748154689189356, -122.4054990950075)",60,9,2,2,2,7,7,2,28859,1,,,
B183412,12/21/2018,04/02/2019,26000.00,false,false,2,1500 Block of 28th Avenue,94122,4,Sunset/Parkside,"(37.758471211018296, -122.48651586632681)",39,10,7,35,35,8,3,1,56,1,,,
B182403,08/13/2018,04/02/2019,71533.32,false,false,3,2300 Block of 15th Street,94114,8,Castro/Upper Market,"(37.765731443814424, -122.43629718652157)",113,7,5,5,3,5,5,15,28862,1,,,
B182257,07/20/2018,04/01/2019,18000.00,false,false,2,300 Block of Connecticut Street,94107,10,Potrero Hill,"(37.76187752147646, -122.39750236417368)",54,2,9,26,29,3,8,10,28856,1,,,
B190325,02/13/2019,04/01/2019,30000.00,false,false,1,0 Block of Mason Street,94102,6,Tenderloin,"(37.78380666349917, -122.40912963369935)",19,5,10,36,36,10,9,14,28852,2,1,,1
B190037,01/09/2019,04/01/2019,35000.00,false,true,2,0 Block of Clayton Street,94117,5,Lone Mountain/USF,"(37.77493372011152, -122.44954428729345)",24,7,11,18,16,5,11,15,29492,1,,,
B190144,01/22/2019,04/01/2019,60000.00,false,true,1,1400 Block of South Van Ness Avenue,94110,9,Mission,"(37.74996747529547, -122.41610010890759)",53,3,2,20,19,4,7,2,28859,2,,,
B190143,01/22/2019,04/01/2019,1000.00,false,true,1,1400 Block of South Van Ness Avenue,94110,9,Mission,"(37.74996747529547, -122.41610010890759)",53,3,2,20,19,4,7,2,28859,2,,,
B190242,01/29/2019,03/29/2019,30000.00,false,false,1,1200 Block of 44th Avenue,94122,4,Sunset/Parkside,"(37.763323542937464, -122.50391350344078)",39,10,7,35,35,8,3,1,56,1,,,
B182051,07/11/2018,03/28/2019,10800.00,false,true,1,200 Block of Detroit Street,94131,7,West of Twin Peaks,"(37.72949486871608, -122.4443569412764)",95,9,8,41,40,7,4,9,28861,1,,,
B190244,01/30/2019,03/27/2019,25000.00,false,false,4,2600 Block of Vicente Street,94116,4,Sunset/Parkside,"(37.73850434404375, -122.49525865814762)",39,10,7,35,35,8,3,1,29491,1,,,
B182919,10/18/2018,03/22/2019,35000.00,false,false,2,0 Block of Cook Street,94118,2,Presidio Heights,"(37.78274423604086, -122.4523921350961)",11,8,6,31,31,6,1,15,54,1,,,
B171870,07/24/2017,03/22/2019,8000.00,false,true,2,900 Block of Treat Avenue,94110,9,Mission,"(37.754961089414145, -122.41328645200834)",53,3,2,20,19,4,7,2,28859,2,,,
B170179,01/31/2017,03/21/2019,100000.00,false,true,4,1400 Block of South Van Ness Avenue,94110,9,Mission,"(37.74997579688684, -122.41596215499567)",53,3,2,20,19,4,7,2,28859,2,,,
B190581,,03/19/2019,9168.39,false,false,2,1400 Block of Golden Gate Avenue,94115,5,Western Addition,"(37.779303965914835, -122.4344294506534)",97,4,11,39,41,5,11,15,29490,2,,,
B183310,12/04/2018,03/19/2019,20000.00,false,false,2,400 Block of Oxford Street,94134,9,Portola,"(37.724349767002714, -122.41870540553651)",92,9,2,25,28,7,7,9,309,1,,,
B181203,04/11/2018,03/19/2019,50000.00,false,false,1,300 Block of Warren Drive,94131,7,Inner Sunset,"(37.75560076511, -122.46127617748563)",111,7,8,14,12,5,4,1,63,1,,,
B182977,10/22/2018,03/18/2019,24000.00,false,false,6,1000 Block of Divisadero Street,94115,5,Western Addition,"(37.77920747028913, -122.43852606916988)",97,4,11,39,41,5,11,15,29490,1,,,
B190481,03/04/2019,03/18/2019,54000.00,false,false,2,1700 Block of 35th Avenue,94122,4,Sunset/Parkside,"(37.75441476510989, -122.4937537240167)",39,10,7,35,35,8,3,1,56,1,,,
B181776,06/12/2018,03/18/2019,56500.00,false,false,5,3100 Block of Cesar Chavez Street,94110,9,Bernal Heights,"(37.74816643114135, -122.41257307766936)",83,3,2,2,2,4,7,2,28859,1,,,
B181775,06/12/2018,03/18/2019,56500.00,false,false,3,3100 Block of Cesar Chavez Street,94110,9,Bernal Heights,"(37.74816643114135, -122.41257307766936)",83,3,2,2,2,4,7,2,28859,1,,,
B183195,11/13/2018,03/18/2019,70000.00,false,true,2,1300 Block of 18th Avenue,94122,4,Inner Sunset,"(37.762681004301726, -122.475920152775)",109,10,7,14,12,8,3,1,56,1,,,
B181777,06/12/2018,03/18/2019,56500.00,false,false,7,3100 Block of Cesar Chavez Street,94110,9,Bernal Heights,"(37.74816643114135, -122.41257307766936)",83,3,2,2,2,4,7,2,28859,1,,,
B170176,01/31/2017,03/15/2019,112000.00,false,false,2,1400 Block of South Van Ness Avenue,94110,9,Mission,"(37.74997579688684, -122.41596215499567)",53,3,2,20,19,4,7,2,28859,2,,,
B190582,,03/15/2019,13254.00,false,false,2,200 Block of Coleridge Street,94110,9,Bernal Heights,"(37.74199576275587, -122.4208976556799)",83,9,2,2,2,7,7,2,28859,1,,,
B190130,01/17/2019,03/14/2019,10000.00,false,false,1,300 Block of Fulton Street,94102,5,Hayes Valley,"(37.77879788702578, -122.42252070201661)",21,4,11,9,10,9,11,7,28852,1,,,1
B190146,01/23/2019,03/13/2019,40000.00,false,false,1,100 Block of Marietta Drive,94127,7,West of Twin Peaks,"(37.74058924686494, -122.44746098475137)",72,9,8,41,40,7,4,9,59,1,,,
B183410,12/21/2018,03/12/2019,17000.00,false,false,2,1300 Block of 8th Avenue,94122,5,Inner Sunset,"(37.76315582735391, -122.46511079092852)",109,10,11,14,12,8,11,1,56,1,,,
B190161,01/28/2019,03/12/2019,29814.52,false,false,1,300 Block of Crescent Avenue,94110,9,Bernal Heights,"(37.734881700856505, -122.41779338012323)",61,9,2,2,2,7,7,2,28859,1,,,
B183409,12/20/2018,03/11/2019,40000.00,false,true,2,1900 Block of 33rd Avenue,94116,4,Sunset/Parkside,"(37.750782198404266, -122.4912093172223)",39,10,7,35,35,8,3,1,29491,1,,,
B183490,12/31/2018,03/11/2019,30000.00,false,false,3,2600 Block of Gough Street,94123,2,Marina,"(37.79767606906862, -122.42710623658581)",15,4,6,13,17,9,1,13,57,1,,,
B183406,12/19/2018,03/11/2019,20000.00,false,true,1,300 Block of 25th Avenue,94121,1,Outer Richmond,"(37.782957067779876, -122.48487351161101)",8,8,4,29,26,6,2,11,55,2,,,
B183334,12/12/2018,03/06/2019,58323.18,false,false,1,2300 Block of Scott Street,94115,2,Pacific Heights,"(37.79139881805532, -122.43946685909198)",102,4,6,30,27,6,1,13,29490,1,,,
B183227,11/27/2018,03/05/2019,22500.00,false,true,2,0 Block of Lincoln Way,94122,5,Inner Sunset,"(37.76610412269156, -122.45839138628149)",109,7,11,14,12,5,11,15,29492,1,,,
B170175,01/31/2017,03/04/2019,100000.00,false,false,2,1400 Block of South Van Ness Avenue,94110,9,Mission,"(37.74997579688684, -122.41596215499567)",53,3,2,20,19,4,7,2,28859,2,,,
B190024,01/07/2019,03/04/2019,7500.00,false,false,1,3100 Block of San Bruno Avenue,94134,10,Portola,"(37.72158429900539, -122.40116773345886)",91,2,9,25,28,3,8,10,309,2,,,
B190484,,02/28/2019,11000.00,false,false,1,500 Block of Page Street,94117,5,Hayes Valley,"(37.77319778686672, -122.42982052105302)",26,4,11,9,10,9,11,7,29492,1,,,
B182614,09/11/2018,02/28/2019,34220.00,false,true,2,1200 Block of Page Street,94117,5,Haight Ashbury,"(37.77172931002045, -122.44137795480289)",112,7,11,3,9,5,11,15,29492,1,,,
B181328,04/30/2018,02/26/2019,53000.00,false,false,2,0 Block of Romain Street,94114,8,Castro/Upper Market,"(37.75639165446417, -122.4389181314874)",115,3,5,5,3,4,5,2,28862,1,,,
B170177,01/31/2017,02/25/2019,80000.00,false,false,1,1400 Block of South Van Ness Avenue,94110,9,Mission,"(37.74997579688684, -122.41596215499567)",53,3,2,20,19,4,7,2,28859,2,,,
B172861,11/09/2017,02/19/2019,37500.00,false,false,1,2400 Block of Buchanan Street,94115,2,Pacific Heights,"(37.792440182071644, -122.43124587856903)",102,4,6,30,27,9,1,13,29490,1,,,
B183491,12/31/2018,02/19/2019,11938.32,false,false,6,600 Block of Huron Avenue,94112,11,Outer Mission,"(37.71237572171696, -122.44907155767567)",66,9,1,28,25,7,6,9,28861,2,,,
B190160,01/28/2019,02/12/2019,66000.00,false,true,1,100 Block of Buena Vista Terrace,94117,8,Castro/Upper Market,"(37.76654541740246, -122.43851477600073)",113,7,5,5,3,5,5,15,28862,1,,,
B183203,11/15/2018,02/12/2019,40000.00,false,false,1,800 Block of Silliman Street,94134,9,Portola,"(37.72899169495636, -122.41345649298205)",91,2,2,25,28,3,7,9,309,2,,,
B160218,01/22/2016,02/11/2019,102200.00,false,false,2,3800 Block of Sacramento Street,94118,2,Presidio Heights,"(37.787086840849405, -122.45606640907069)",10,8,6,31,31,6,1,11,54,1,,,
B183216,11/19/2018,02/07/2019,60000.00,false,false,2,1200 Block of Page Street,94117,5,Haight Ashbury,"(37.77172931002045, -122.44137795480289)",112,7,11,3,9,5,11,15,29492,1,,,
B190128,01/16/2019,02/06/2019,33000.00,false,false,1,900 Block of Hayes Street,94117,5,Hayes Valley,"(37.77578444679199, -122.4320251599958)",23,4,11,9,10,9,11,15,29492,1,,,
B190127,,02/06/2019,208000.00,false,true,5,1100 Block of Vallejo Street,94109,3,Nob Hill,"(37.79769972445542, -122.41621799373894)",107,6,3,21,21,1,10,5,28858,1,,,
B183326,12/10/2018,02/05/2019,50000.00,false,true,1,3300 Block of Judah Street,94122,4,Sunset/Parkside,"(37.7608344331488, -122.49789270822946)",39,10,7,35,35,8,3,1,56,1,,,
B181988,07/03/2018,02/05/2019,142548.95,false,false,1,3600 Block of 26th Street,94131,8,Mission,"(37.74886644188855, -122.42193299750883)",53,3,5,20,19,4,5,2,28859,1,,,
B181736,06/04/2018,02/05/2019,130000.00,false,false,2,3600 Block of 26th Street,94110,8,Mission,"(37.74886644188855, -122.42193299750883)",53,3,5,20,19,4,5,2,28859,1,,,
B190253,02/04/2019,02/04/2019,100000.00,false,false,3,400 Block of 30th Avenue,94121,1,Outer Richmond,"(37.78080460071475, -122.49023292588696)",8,8,4,29,26,6,2,11,55,2,,,
B182747,09/28/2018,02/04/2019,50000.00,false,true,1,3800 Block of 17th Street,94114,8,Castro/Upper Market,"(37.762697932877245, -122.43254185627747)",38,3,5,5,3,4,5,15,28862,1,,,
B183338,12/13/2018,02/04/2019,20000.00,false,false,1,1100 Block of Howard Street,94103,6,South of Market,"(37.7764167061924, -122.41126139659598)",32,1,10,34,34,2,9,8,28853,2,,,1
B183200,11/15/2018,02/01/2019,50000.00,false,false,2,5600 Block of California Street,94121,1,Outer Richmond,"(37.78414340242973, -122.47804014389756)",5,8,4,29,26,6,2,11,55,1,,,
B183309,12/03/2018,01/30/2019,8000.00,false,true,1,3100 Block of Clay Street,94115,2,Pacific Heights,"(37.7894069839107, -122.4449497214059)",102,8,6,30,27,6,1,13,29490,1,,,
B183314,12/07/2018,01/30/2019,18000.00,false,false,4,1300 Block of Grove Street,94117,5,Hayes Valley,"(37.77576526489369, -122.43881223556392)",24,7,11,9,10,5,11,15,29492,1,,,
B182772,10/04/2018,01/30/2019,35000.00,false,false,2,1900 Block of Broadway Street,94109,2,Pacific Heights,"(37.79505450084557, -122.42917791237055)",102,4,6,30,27,9,1,13,28858,1,,,
B183386,12/14/2018,01/30/2019,45000.00,false,true,2,2200 Block of California Street,94115,2,Pacific Heights,"(37.78916563182952, -122.43136289145465)",102,4,6,30,27,9,1,13,29490,1,,,
B182395,08/09/2018,01/29/2019,80800.00,false,true,3,1700 Block of 23rd Avenue,94122,4,Sunset/Parkside,"(37.75498219814469, -122.48089316701322)",39,10,7,35,35,8,3,1,56,1,,,
B183207,11/15/2018,01/29/2019,,true,false,1,1800 Block of Fell Street,94117,5,Lone Mountain/USF,"(37.77273890796698, -122.44833126856808)",24,7,11,18,16,5,11,15,29492,1,,,
B183194,11/13/2018,01/28/2019,47500.00,false,true,3,1300 Block of 18th Avenue,94122,4,Inner Sunset,"(37.762681004301726, -122.475920152775)",109,10,7,14,12,8,3,1,56,1,,,
B183316,12/07/2018,01/28/2019,18000.00,false,false,1,0 Block of Salmon Street,94133,3,Nob Hill,"(37.796556903891364, -122.41254421585359)",107,6,3,21,21,1,10,3,308,1,,,
B181938,06/26/2018,01/25/2019,75000.00,false,false,1,3600 Block of 26th Street,94110,8,Mission,"(37.74886644188855, -122.42193299750883)",53,3,5,20,19,4,5,2,28859,1,,,
B170731,03/20/2017,01/24/2019,19635.94,false,false,2,600 Block of Webster Street,94117,5,Hayes Valley,"(37.77673125639663, -122.42978542583175)",22,4,11,9,10,9,11,7,29492,1,,,
B183333,12/12/2018,01/22/2019,20000.00,false,false,2,1400 Block of Filbert Street,94133,2,Russian Hill,"(37.79964333910639, -122.42335884134927)",107,4,6,32,32,9,1,13,28858,1,,,
B182648,09/19/2018,01/18/2019,25578.02,false,false,1,300 Block of 5th Avenue,94118,1,Inner Richmond,"(37.78203285542947, -122.46321151002715)",5,8,4,11,11,6,2,11,54,1,,,
B190125,01/16/2019,01/16/2019,45000.00,false,false,2,1400 Block of Cole Street,94117,5,Inner Sunset,"(37.76124107669043, -122.44910813783336)",114,7,11,14,12,5,11,15,29492,1,,,
B183089,11/02/2018,01/14/2019,10000.00,false,true,1,2800 Block of California Street,94115,2,Pacific Heights,"(37.788015611182175, -122.44128573523034)",102,8,6,30,27,6,1,13,29490,1,,,
B182921,10/18/2018,01/14/2019,80000.00,false,false,2,200 Block of Monterey Boulevard,94131,7,West of Twin Peaks,"(37.73168068236128, -122.44088441290504)",95,9,8,41,40,7,4,9,63,1,,,
B181610,05/18/2018,01/14/2019,6627.00,false,true,1,2200 Block of 23rd Street,94107,10,Potrero Hill,"(37.754596108708355, -122.4020786946584)",54,2,9,26,29,3,8,10,28856,2,,,
B182738,09/27/2018,01/09/2019,125000.00,false,false,1,2800 Block of 23rd Street,94110,9,Mission,"(37.75442429192755, -122.40974183839226)",53,3,2,20,19,4,7,2,28859,2,,,
B183392,12/18/2018,01/08/2019,25000.00,false,false,1,200 Block of Summit Street,94112,11,Oceanview/Merced/Ingleside,"(37.71715904216429, -122.45439740027903)",81,10,1,24,24,8,6,9,28861,2,,,
B181327,04/30/2018,01/08/2019,31623.00,false,true,2,100 Block of Cresta Vista Drive,94127,7,West of Twin Peaks,"(37.73562711932062, -122.45657676877423)",117,9,8,41,40,7,4,9,59,1,,,
B182913,10/16/2018,01/07/2019,51604.00,false,false,2,1500 Block of 46th Avenue,94122,4,Sunset/Parkside,"(37.75762936518829, -122.50566208776782)",39,10,7,35,35,8,3,1,56,1,,,
B183037,10/30/2018,01/04/2019,,true,false,2,2000 Block of Jackson Street,94109,2,Pacific Heights,"(37.79314874554976, -122.42879323685855)",102,4,6,30,27,9,1,13,28858,1,,,
B183327,12/10/2018,01/04/2019,125000.00,false,true,2,2300 Block of 29th Avenue,94116,4,Sunset/Parkside,"(37.743509270265626, -122.48654111873441)",40,10,7,35,35,8,3,1,29491,1,,,
B182651,09/20/2018,01/03/2019,65000.00,false,false,3,100 Block of Grand View Avenue,94114,8,Twin Peaks,"(37.755804957482745, -122.43996274656399)",115,3,5,38,38,4,5,2,28862,1,,,
B183190,11/09/2018,01/03/2019,13500.00,false,true,2,700 Block of Faxon Avenue,94112,7,West of Twin Peaks,"(37.726701850162634, -122.46003087636383)",71,9,8,41,40,7,4,9,28861,1,,,
B182832,10/10/2018,01/03/2019,15000.00,false,false,1,800 Block of Green Street,94133,3,Russian Hill,"(37.79904592079125, -122.41311790698637)",107,6,3,32,32,1,10,3,308,1,,,
B163724,12/01/2016,12/31/2018,40000.00,false,false,2,2500 Block of 33rd Avenue,94116,4,Sunset/Parkside,"(37.73959527361156, -122.49042795578644)",40,10,7,35,35,8,3,1,29491,1,,,
B182691,09/24/2018,12/31/2018,13700.00,false,true,1,0 Block of Ney Street,94112,11,Excelsior,"(37.72992118044065, -122.42921503528729)",94,9,1,7,5,7,6,9,28861,2,,,
B183030,10/29/2018,12/24/2018,7831.48,false,false,1,1300 Block of Pine Street,94109,3,Nob Hill,"(37.789883351014474, -122.41801242283914)",50,6,3,21,21,1,10,13,28858,1,,,
B183433,12/24/2018,12/24/2018,52200.00,false,false,1,3000 Block of California Street,94115,2,Presidio Heights,"(37.78748845096702, -122.44456681459705)",103,8,6,31,31,6,1,13,29490,1,,,
B182928,10/19/2018,12/19/2018,15000.00,false,false,2,400 Block of 17th Avenue,94121,1,Outer Richmond,"(37.77951158575828, -122.47616631304867)",5,8,4,29,26,6,2,11,55,1,,,
B182056,07/12/2018,12/19/2018,62654.00,false,false,2,1100 Block of South Van Ness Avenue,94110,9,Mission,"(37.754772185394565, -122.4164210839706)",53,3,2,20,19,4,7,2,28859,2,,,
B182748,10/01/2018,12/18/2018,12000.00,false,false,1,2800 Block of Pierce Street,94123,2,Marina,"(37.79619712244452, -122.43875376756176)",14,4,6,13,17,9,1,13,57,1,,,
B181875,06/21/2018,12/17/2018,60500.00,false,true,1,1100 Block of Fulton Street,94117,5,Western Addition,"(37.77722858677085, -122.43569663395877)",23,4,11,39,41,5,11,15,29492,1,,,
B181202,04/11/2018,12/14/2018,15000.00,false,false,1,300 Block of Warren Drive,94131,7,Inner Sunset,"(37.75560076511, -122.46127617748563)",111,7,8,14,12,5,4,1,63,1,,,
B180915,03/23/2018,12/14/2018,70000.00,false,false,1,1700 Block of Balboa Street,94121,1,Outer Richmond,"(37.776564750534384, -122.47749509678569)",5,8,4,29,26,6,2,11,55,1,,,
B182974,10/23/2018,12/13/2018,7183.10,false,true,2,1400 Block of Sacramento Street,94109,3,Nob Hill,"(37.79205951698316, -122.41694742829021)",16,6,3,21,21,1,10,5,28858,1,,,
B182019,07/10/2018,12/12/2018,32000.00,false,false,2,400 Block of Prentiss Street,94110,9,Bernal Heights,"(37.73762600760065, -122.41225127867139)",83,9,2,2,2,7,7,10,28859,1,,,
B182057,07/12/2018,12/11/2018,91762.00,false,false,1,1100 Block of South Van Ness Avenue,94110,9,Mission,"(37.754772185394565, -122.4164210839706)",53,3,2,20,19,4,7,2,28859,2,,,
B183328,,12/11/2018,16000.00,false,false,1,200 Block of Tocoloma Avenue,94134,10,Bayview Hunters Point,"(37.71242378792109, -122.39774780752977)",89,2,9,1,1,3,8,10,309,1,,,
B182739,09/27/2018,12/10/2018,16550.00,false,true,2,2600 Block of 44th Avenue,94116,4,Sunset/Parkside,"(37.73720749961967, -122.50221876748456)",40,10,7,35,35,8,3,1,29491,1,,,
B183228,11/27/2018,12/05/2018,18750.00,false,true,2,100 Block of Noe Street,94114,8,Castro/Upper Market,"(37.767057655689186, -122.43343907567767)",28,7,5,5,3,5,5,15,28862,1,,,
B182645,09/17/2018,12/04/2018,55000.00,false,true,7,1300 Block of Alabama Street,94110,9,Mission,"(37.75029519368276, -122.41066537634075)",53,3,2,20,19,4,7,2,28859,1,,,
B180110,01/11/2018,12/04/2018,40000.00,false,false,1,600 Block of Athens Street,94112,11,Excelsior,"(37.71772497673472, -122.43130609405584)",90,9,1,7,5,7,6,9,28861,2,,,
B182599,09/07/2018,12/04/2018,15000.00,false,true,1,700 Block of Natoma Street,94103,6,South of Market,"(37.77608805201559, -122.41298670568248)",32,1,10,34,34,2,9,8,28853,2,1,,1
B182442,08/17/2018,12/04/2018,35000.00,false,false,1,1800 Block of 34th Avenue,94122,4,Sunset/Parkside,"(37.75260005614102, -122.49241358966208)",39,10,7,35,35,8,3,1,56,1,,,
B182011,07/09/2018,12/04/2018,24500.00,false,false,4,100 Block of Beulah Street,94117,5,Haight Ashbury,"(37.76746662966113, -122.45233685338897)",29,7,11,3,9,5,11,15,29492,1,,,
B183252,12/03/2018,12/03/2018,12637.38,false,false,1,900 Block of Bush Street,94109,3,Nob Hill,"(37.789688846797745, -122.41291310420233)",50,6,3,21,21,1,10,5,28858,1,,,
B162205,06/28/2016,12/03/2018,70500.00,false,false,1,3300 Block of 22nd Street,94110,8,Mission,"(37.75516422377521, -122.42230322516461)",52,3,5,20,19,4,5,2,28859,1,,,
B181876,06/21/2018,12/03/2018,108000.00,false,true,2,1100 Block of Fulton Street,94117,5,Western Addition,"(37.77722858677085, -122.43569663395877)",23,4,11,39,41,5,11,15,29492,1,,,
B182005,07/06/2018,11/30/2018,35368.50,false,false,1,0 Block of Stoneyford Avenue,94112,9,Excelsior,"(37.730273277625884, -122.42094309618906)",94,9,2,7,5,7,7,9,28861,2,,,
B180215,01/29/2018,11/30/2018,85500.00,false,false,1,3500 Block of 23rd Street,94110,8,Mission,"(37.75366959108268, -122.42227841848911)",52,3,5,20,19,4,5,2,28859,1,,,
B183243,11/29/2018,11/29/2018,,true,false,5,300 Block of Rivera Street,94116,7,West of Twin Peaks,"(37.746978977288805, -122.47022236331955)",44,10,8,41,40,8,4,1,29491,1,,,
B182975,10/22/2018,11/29/2018,14018.00,false,false,2,900 Block of Capp Street,94110,9,Mission,"(37.751509843797535, -122.41721039342657)",53,3,2,20,19,4,7,2,28859,2,,,
B183229,,11/28/2018,50000.00,false,false,2,600 Block of 28th Street,94131,8,Noe Valley,"(37.744642740783625, -122.43676563571447)",57,9,5,22,22,7,5,2,63,1,,,
B152674,09/29/2015,11/27/2018,15000.00,false,false,2,0 Block of Precita Avenue,94110,9,Bernal Heights,"(37.74668023144641, -122.41871130987303)",83,9,2,2,2,7,7,2,28859,1,,,
B182830,10/09/2018,11/27/2018,21209.76,false,false,1,100 Block of Fell Street,94102,5,Hayes Valley,"(37.7762095924813, -122.42031634805767)",21,4,11,9,10,9,11,7,28852,1,,,1
B180663,03/06/2018,11/27/2018,50001.00,false,false,3,2400 Block of 30th Avenue,94116,4,Sunset/Parkside,"(37.74160075853052, -122.48734235096124)",40,10,7,35,35,8,3,1,29491,1,,,
B182613,09/10/2018,11/26/2018,72581.00,false,false,5,2800 Block of Harrison Street,94110,9,Mission,"(37.75182705532185, -122.4118919996882)",53,3,2,20,19,4,7,2,28859,2,,,
B180498,02/14/2018,11/18/2018,200000.00,false,true,2,0 Block of States Street,94114,8,Castro/Upper Market,"(37.7634100550694, -122.43906507196981)",113,7,5,5,3,5,5,15,28862,1,,,
B182647,09/19/2018,11/16/2018,50000.00,false,false,1,600 Block of Burnett Avenue,94131,8,Twin Peaks,"(37.75133055251515, -122.44446883018355)",51,7,5,38,38,5,5,2,63,1,,,
B182502,08/20/2018,11/15/2018,16000.00,false,false,1,0 Block of Saint Charles Avenue,94132,11,Oceanview/Merced/Ingleside,"(37.71342071587119, -122.46924960751734)",65,10,1,24,24,8,6,9,64,2,,,
B182417,08/15/2018,11/14/2018,25000.00,false,false,1,200 Block of Thrift Street,94112,11,Oceanview/Merced/Ingleside,"(37.717487450350625, -122.46143337472769)",81,10,1,24,24,8,6,9,28861,2,,,
B182631,09/12/2018,11/14/2018,9000.00,false,false,1,1200 Block of Quesada Avenue,94124,10,Bayview Hunters Point,"(37.728536887915155, -122.38309992993823)",78,2,9,1,1,3,8,10,58,2,,,
