Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_viu7_rrfi,:@computed_region_n4xg_c4py
B151599,07/01/2015,09/04/2015,20000.00,false,false,2,1700 Block of Green Street,94123,2,Marina,"(37.797041708816444, -122.4278918861077)",102,4,6,13,17,9,1,13,57,1,,,
B151542,06/22/2015,09/01/2015,75000.00,false,true,1,1400 Block of Church Street,94131,8,Noe Valley,"(37.74730041855781, -122.4269378974234)",84,9,5,22,22,7,5,2,63,1,,,
B151544,06/23/2015,09/01/2015,40000.00,false,true,1,1700 Block of Sanchez Street,94131,8,Glen Park,"(37.74104153321919, -122.42875480384323)",59,9,5,10,7,7,5,2,63,1,,,
B152418,,09/01/2015,8500.00,false,false,2,2900 Block of Mission Street,94110,9,Mission,"(37.74984462224995, -122.41814258315732)",53,3,2,20,19,4,7,2,28859,2,,,
B151708,07/09/2015,09/01/2015,20354.00,false,false,2,2000 Block of Larkin Street,94109,3,Russian Hill,"(37.796592926482425, -122.42028152971635)",105,6,3,32,32,9,10,13,28858,1,,,
B151379,06/03/2015,08/31/2015,70000.00,false,true,1,2200 Block of 15th Street,94114,8,Castro/Upper Market,"(37.765739788651025, -122.43435845409579)",28,7,5,5,3,5,5,15,28862,1,,,
B151380,06/03/2015,08/31/2015,70000.00,false,true,1,2200 Block of 15th Street,94114,8,Castro/Upper Market,"(37.765739788651025, -122.43435845409579)",28,7,5,5,3,5,5,15,28862,1,,,
B151378,06/03/2015,08/31/2015,70000.00,false,true,2,2200 Block of 15th Street,94114,8,Castro/Upper Market,"(37.765739788651025, -122.43435845409579)",28,7,5,5,3,5,5,15,28862,1,,,
B151358,06/01/2015,08/27/2015,60000.00,false,true,2,1900 Block of 42nd Avenue,94116,4,Sunset/Parkside,"(37.7503586981534, -122.50085340522872)",39,10,7,35,35,8,3,1,29491,1,,,
B152279,,08/26/2015,40000.00,false,false,2,3700 Block of 16th Street,94114,8,Castro/Upper Market,"(37.76374742344235, -122.43687116790363)",113,7,5,5,3,5,5,15,28862,1,,,
B151125,05/07/2015,08/25/2015,61500.00,false,false,1,2700 Block of Bryant Street,94110,9,Mission,"(37.75040486568473, -122.40883258431666)",53,3,2,20,19,4,7,2,28859,1,,,
B151294,05/20/2015,08/25/2015,23500.00,false,true,2,1400 Block of Gough Street,94109,5,Japantown,"(37.78665474165871, -122.42502102688991)",100,4,11,15,13,9,11,13,28858,2,,,
B150708,04/02/2015,08/21/2015,134500.00,false,true,4,2500 Block of Gough Street,94123,2,Marina,"(37.79672751502928, -122.42705480810254)",102,4,6,13,17,9,1,13,57,1,,,
B151355,05/29/2015,08/21/2015,18000.00,false,true,4,0 Block of De Long Street,94112,11,Outer Mission,"(37.70972578768812, -122.45836992880523)",66,10,1,28,25,8,6,9,28861,2,,,
B152262,08/17/2015,08/21/2015,40000.00,false,false,1,1800 Block of 22nd Avenue,94122,4,Sunset/Parkside,"(37.753163589675424, -122.47969146959726)",39,10,7,35,35,8,3,1,56,1,,,
B150709,04/02/2015,08/21/2015,89500.00,false,true,1,2500 Block of Gough Street,94123,2,Marina,"(37.79672751502928, -122.42705480810254)",102,4,6,13,17,9,1,13,57,1,,,
B152268,08/20/2015,08/20/2015,5000.00,false,false,1,1700 Block of 26th Avenue,94122,4,Sunset/Parkside,"(37.754840507540635, -122.48410812748497)",39,10,7,35,35,8,3,1,56,1,,,
B151566,06/30/2015,08/20/2015,20000.00,false,false,4,500 Block of Athens Street,94112,11,Excelsior,"(37.71928199230839, -122.430129309919)",90,9,1,7,5,7,6,9,28861,2,,,
B151565,06/29/2015,08/19/2015,17450.00,false,false,2,1300 Block of Francisco Street,94123,2,Marina,"(37.80294860970148, -122.42739861574515)",17,4,6,13,17,9,1,13,57,1,,,
B151981,07/29/2015,08/19/2015,5000.00,false,true,1,3200 Block of Market Street,94114,8,Castro/Upper Market,"(37.75857564451663, -122.44474067311377)",115,3,5,5,3,4,5,2,28862,1,,,
B150710,04/02/2015,08/18/2015,94500.00,false,true,2,2500 Block of Gough Street,94123,2,Marina,"(37.79672751502928, -122.42705480810254)",102,4,6,13,17,9,1,13,57,1,,,
B150998,04/24/2015,08/17/2015,30000.00,false,false,3,900 Block of Somerset Street,94134,10,Portola,"(37.71994019925505, -122.40484460505533)",75,9,9,25,28,7,8,10,309,1,,,
B151750,07/10/2015,08/14/2015,13000.00,false,false,2,100 Block of Trumbull Street,94112,11,Excelsior,"(37.73079115008474, -122.42726174283199)",94,9,1,7,5,7,6,9,28861,2,,,
B151559,06/25/2015,08/14/2015,23000.00,false,true,3,200 Block of Gough Street,94102,5,Hayes Valley,"(37.77524483223053, -122.42271387731311)",22,4,11,9,10,9,11,7,28852,1,,,1
B150770,04/09/2015,08/14/2015,10000.00,false,false,3,1100 Block of Dolores Street,94110,8,Mission,"(37.75064153155523, -122.42488997663675)",52,3,5,20,19,4,5,2,28859,1,,,
B152261,,08/14/2015,35000.00,false,false,1,1000 Block of Pierce Street,94115,5,Western Addition,"(37.7793814653525, -122.43535759867835)",97,4,11,39,41,5,11,15,29490,2,,,
B151402,06/05/2015,08/14/2015,13000.00,false,false,2,100 Block of Noe Street,94114,8,Castro/Upper Market,"(37.76625767774476, -122.43336268256967)",28,7,5,5,3,5,5,15,28862,1,,,
B151359,06/01/2015,08/13/2015,44500.00,false,false,5,700 Block of Pine Street,94108,3,Nob Hill,"(37.79109268439432, -122.4085074611105)",16,6,3,21,21,1,10,5,28857,1,,,
B152256,,08/13/2015,20000.00,false,false,2,1600 Block of Florida Street,94110,9,Bernal Heights,"(37.747182013494644, -122.40922847577349)",60,9,2,2,2,7,7,2,28859,1,,,
B152255,,08/12/2015,40000.00,false,false,2,1200 Block of 48th Avenue,94122,4,Sunset/Parkside,"(37.76313010135089, -122.5083340497671)",39,10,7,35,35,8,3,1,56,1,,,
B151374,06/02/2015,08/11/2015,14000.00,false,true,2,1700 Block of 11th Avenue,94122,7,Inner Sunset,"(37.755553264979966, -122.46793619309221)",44,10,8,14,12,8,4,1,56,1,,,
B152253,,08/11/2015,25000.00,false,false,1,500 Block of Leavenworth Street,94109,6,Tenderloin,"(37.78605984533389, -122.41464359258737)",20,5,10,36,36,10,9,5,28852,2,1,,
B152079,,08/07/2015,51325.00,false,false,3,1900 Block of 15th Street,94114,8,Castro/Upper Market,"(37.76621688938634, -122.42829350397984)",37,3,5,5,3,4,5,8,28862,1,,,
B152077,,08/07/2015,4000.00,false,false,2,0 Block of Terra Vista Avenue,94115,2,Lone Mountain/USF,"(37.781489938649614, -122.44332591488954)",13,7,6,18,16,5,1,15,29490,1,,,
B151126,05/07/2015,08/07/2015,14102.00,false,true,1,1600 Block of Ulloa Street,94116,7,West of Twin Peaks,"(37.74120383423485, -122.47395464643846)",46,10,8,41,40,8,4,1,29491,1,,,
B152073,,08/07/2015,50000.00,false,true,4,0 Block of San Jose Avenue,94110,8,Mission,"(37.7540652772746, -122.42156631950026)",52,3,5,20,19,4,5,2,28859,1,,,
B152074,,08/07/2015,,true,false,2,2100 Block of Pacific Avenue,94115,2,Pacific Heights,"(37.79392640964233, -122.43063726269709)",102,4,6,30,27,9,1,13,29490,1,,,
B152076,08/07/2015,08/07/2015,14000.00,false,true,1,300 Block of Steiner Street,94117,5,Haight Ashbury,"(37.772354580319806, -122.43225453261279)",26,4,11,3,9,9,11,15,29492,1,,,
B152070,,08/06/2015,33298.59,false,false,1,3000 Block of Fillmore Street,94123,2,Marina,"(37.79754636378409, -122.4356523670703)",15,4,6,13,17,9,1,13,57,1,,,
B151504,06/16/2015,08/05/2015,7000.00,false,false,1,0 Block of Pinehurst Way,94127,7,West of Twin Peaks,"(37.72756857575827, -122.4653956787552)",68,10,8,41,40,8,4,9,59,1,,,
B151222,05/15/2015,08/03/2015,75000.00,false,true,2,2800 Block of 25th Street,94110,9,Mission,"(37.751338291242305, -122.4075930994213)",53,3,2,20,19,4,7,2,28859,1,,,
B151979,07/29/2015,07/29/2015,2300.00,false,false,1,600 Block of Thornton Avenue,94124,10,Bayview Hunters Point,"(37.731420544259564, -122.40073402621869)",87,2,9,1,1,3,8,10,58,2,,,
B151982,,07/29/2015,30000.00,false,true,2,900 Block of Ashbury Street,94117,8,Haight Ashbury,"(37.764691603087904, -122.44579025094643)",112,7,5,3,9,5,5,15,29492,1,,,
B151897,07/16/2015,07/28/2015,150000.00,false,false,2,0 Block of Cumberland Street,94110,8,Mission,"(37.759042049984146, -122.4247229313483)",37,3,5,20,19,4,5,2,28859,1,,,
B151043,04/29/2015,07/27/2015,19153.00,false,false,4,200 Block of Richland Avenue,94110,9,Bernal Heights,"(37.73579762909885, -122.42166206461111)",61,9,2,2,2,7,7,2,28859,1,,,
B151974,,07/27/2015,30000.00,false,false,2,0 Block of Eagle Street,94114,8,Castro/Upper Market,"(37.75826554094594, -122.44289752997673)",115,3,5,5,3,4,5,2,28862,1,,,
B151330,05/28/2015,07/27/2015,5500.00,false,false,2,200 Block of Laguna Street,94102,5,Hayes Valley,"(37.773424617786645, -122.42572150967233)",26,4,11,9,10,9,11,7,28852,1,,,
B151965,07/24/2015,07/24/2015,2000.00,false,false,2,0 Block of Emery Lane,94133,3,Chinatown,"(37.79871399523795, -122.40961833112769)",106,6,3,6,4,1,10,3,308,2,,,
B151905,,07/21/2015,11500.00,false,false,1,400 Block of Warren Drive,94131,7,Inner Sunset,"(37.75797638858377, -122.46201174677903)",111,7,8,14,12,5,4,1,63,1,,,
B150807,04/10/2015,07/20/2015,74101.79,false,false,1,500 Block of Chenery Street,94131,8,Glen Park,"(37.73509395614844, -122.43107305225159)",96,9,5,10,7,7,5,2,63,1,,,
B151130,05/07/2015,07/20/2015,53000.00,false,true,2,100 Block of 26th Avenue,94121,2,Seacliff,"(37.78663300121139, -122.4862122761523)",1,8,6,33,33,6,1,11,55,1,,,
B151254,05/19/2015,07/20/2015,15000.00,false,false,1,1000 Block of Bush Street,94109,3,Nob Hill,"(37.789478817108304, -122.41456113260082)",50,6,3,21,21,1,10,5,28858,1,,,
B151896,,07/16/2015,75329.00,false,true,1,200 Block of San Carlos Street,94110,9,Mission,"(37.75938329305787, -122.41997716515007)",53,3,2,20,19,4,7,2,28859,2,,,
B151895,,07/16/2015,25874.00,false,true,4,1500 Block of Baker Street,94115,2,Presidio Heights,"(37.785283958956015, -122.44334475586244)",103,8,6,31,31,6,1,15,29490,1,,,
B150702,04/01/2015,07/16/2015,34500.00,false,true,4,0 Block of Lippard Avenue,94131,8,Glen Park,"(37.734322866471985, -122.43562814252309)",96,9,5,10,7,7,5,2,63,1,,,
B151398,06/04/2015,07/15/2015,3500.00,false,false,1,0 Block of Red Rock Way,94131,8,Noe Valley,"(37.746036675352386, -122.4421966322588)",57,9,5,22,22,7,5,2,63,1,,,
B150769,04/08/2015,07/15/2015,30000.00,false,false,3,100 Block of Bernard Street,94109,3,Nob Hill,"(37.7961589594177, -122.41590705600177)",107,6,3,21,21,1,10,5,28858,1,,,
B151755,,07/15/2015,12500.00,false,false,2,1500 Block of Sacramento Street,94109,3,Nob Hill,"(37.79175927538888, -122.4183905004495)",16,6,3,21,21,1,10,5,28858,1,,,
B151760,,07/13/2015,36205.00,false,false,4,200 Block of Winfield Street,94110,9,Bernal Heights,"(37.74163357956177, -122.41912899616955)",83,9,2,2,2,7,7,2,28859,1,,,
